,N,P,K,temperature,humidity,rainfall,label
63,70,36,42,21.84106875,80.72886384,202.3838319,rice
64,76,47,42,20.08369642,83.29114712,263.6372176,rice
65,99,41,36,24.45802087,82.74835604,182.5616319,rice
66,99,54,37,21.14347496,80.33502926,198.6730942,rice
67,86,59,35,25.78720567,82.11124033,243.5120414,rice
68,69,46,41,23.64124821,80.28597873,263.1103304,rice
69,91,56,37,23.43191632,80.56887849,269.5039162,rice
70,61,52,41,24.97669518,83.891805,204.8001847,rice
71,67,45,38,22.72791041,82.1706881,260.8875056,rice
72,79,42,37,24.87300744,82.84022551,295.6094492,rice
73,78,43,42,21.32376327,83.00320459,192.3197536,rice
74,75,54,36,26.29465461,84.56919326,257.4914906,rice
75,97,36,45,22.2286982,81.85872947,278.0791793,rice
76,67,47,44,26.73072391,81.78596776,280.4044392,rice
77,73,35,38,24.88921174,81.97927117,185.9461429,rice
78,77,36,37,26.88444878,81.46033732,194.5766559,rice
79,81,41,38,22.67846116,83.72874389,200.9133156,rice
80,68,57,43,26.08867875,80.37979919,182.9043504,rice
81,72,45,35,25.42977518,82.94682591,195.3574542,rice
82,61,53,43,26.40323239,81.05635517,223.3671883,rice
83,67,43,39,26.04371967,84.96907151,186.7536773,rice
84,67,58,39,25.2827223,80.54372813,220.1156708,rice
85,66,60,38,22.08576562,83.47038318,231.7364957,rice
86,82,43,38,23.28617173,81.43321641,242.3170629,rice
87,84,50,44,25.48591986,81.40633547,182.6549356,rice
88,81,53,42,23.67575393,81.03569343,233.7034975,rice
89,91,50,40,20.82477109,84.1341879,230.2242223,rice
90,93,53,38,26.92995077,81.91411159,290.6793783,rice
91,90,44,38,23.83509503,83.88387074,241.2013513,rice
92,81,45,35,26.52872817,80.12267476,218.9163567,rice
93,78,40,38,26.46428311,83.85642678,248.2256491,rice
94,60,51,36,22.69657794,82.81088865,256.9964761,rice
95,88,46,42,22.68319059,83.46358271,194.2651719,rice
96,93,47,37,21.53346343,82.14004101,295.9248796,rice
97,60,55,45,21.40865769,83.3293191,287.5766935,rice
98,78,35,44,26.54348085,84.67353597,183.6222657,rice
99,65,37,40,23.35905428,83.59512273,188.413665,rice
100,71,54,16,22.61359953,63.69070564,87.75953857,maize
101,61,44,17,26.10018422,71.57476937,102.2662445,maize
102,80,43,16,23.55882094,71.59351368,66.71995467,maize
103,73,58,21,19.97215954,57.68272924,60.65171481,maize
104,61,38,20,18.47891261,62.69503871,65.43835393,maize
105,68,41,16,21.77689322,57.80840636,102.0861694,maize
106,93,41,17,25.6217169,66.50415474,105.4654703,maize
107,89,60,19,25.19192419,66.6902901,78.06639649,maize
108,76,44,17,20.41683147,62.5542482,65.27798457,maize
109,67,60,25,24.92162194,66.78627406,109.2162279,maize
110,70,44,19,23.31689124,73.4541537,94.29712821,maize
111,90,49,21,24.84016732,68.3584573,74.05474936,maize
112,62,52,16,22.27526694,58.84015925,63.87020584,maize
113,92,44,16,18.87751445,65.76816093,94.76189431,maize
114,66,54,21,25.19008683,60.2001687,72.12375573,maize
115,63,58,22,18.25405352,55.28220433,63.72358154,maize
116,70,47,17,24.6129118,70.4162444,104.1626147,maize
117,61,41,17,25.1420613,65.26185135,76.68456006,maize
118,66,53,19,23.09348056,60.1159381,65.49730729,maize
119,74,55,19,18.05033737,62.89366992,84.23613484,maize
120,77,57,21,24.9321581,73.80435276,79.74078719,maize
121,99,50,15,18.14710054,71.09445342,88.07753741,maize
122,74,56,22,18.28362235,66.65952796,80.97573281,maize
123,83,45,21,18.83344471,58.75082029,79.7532896,maize
124,100,48,16,25.71895816,67.22190688,74.51490791,maize
125,79,51,16,25.33797709,68.49835977,96.46380213,maize
126,94,39,18,23.89114571,57.48775781,102.8301942,maize
127,75,49,15,21.53574127,71.50905983,102.4852929,maize
128,78,48,22,23.08974909,63.10459626,70.43473609,maize
129,87,54,20,25.61707368,63.4711755,108.8303762,maize
130,87,35,25,21.44526922,63.1621551,65.88951188,maize
131,63,43,19,18.51816776,55.53128131,90.988051,maize
132,84,57,25,22.53510514,67.99257471,64.40866039,maize
133,64,35,23,23.02038334,61.89472002,63.03843397,maize
134,60,46,22,24.89364635,65.61418761,87.9298085,maize
135,98,44,21,25.77175115,74.089114,107.4931917,maize
136,75,56,18,19.39851734,62.35750641,60.95197486,maize
137,86,55,21,21.54156232,59.64024162,109.7515385,maize
138,98,35,18,23.79746068,74.82913698,91.76337172,maize
139,76,57,18,18.9802729,74.52600826,94.26249353,maize
140,99,56,17,24.10859207,73.13112261,71.07562236,maize
141,60,44,23,24.7947077,70.04556743,76.72860067,maize
142,74,48,17,21.63162756,60.27766379,69.21803098,maize
143,89,60,17,25.37548751,57.21025565,101.7004306,maize
144,69,51,23,22.21738222,72.85462807,106.6213157,maize
145,96,46,22,20.58314011,69.00128641,66.29390357,maize
146,61,60,15,24.87502824,68.74248334,91.26056654,maize
147,74,58,18,20.03728219,56.35606753,109.024141,maize
148,74,43,23,25.95263264,61.89082199,99.57981207,maize
149,63,43,17,19.28889933,65.47050802,71.3195307,maize
150,99,36,20,20.57981887,65.34583901,78.34604471,maize
151,77,36,23,24.71417533,56.73426469,88.45361858,maize
152,87,60,23,20.27317074,63.91281869,62.50351892,maize
153,60,38,17,18.41932981,64.23580251,76.41312437,maize
154,94,54,17,23.39128187,61.74427165,107.3198135,maize
155,95,38,22,19.84939404,61.24500053,100.7689246,maize
156,84,44,21,21.869274,61.91044947,107.2681929,maize
157,77,58,19,22.8056033,56.50768935,101.5952794,maize
158,66,44,20,19.0781471,69.02298571,80.72515943,maize
159,63,35,16,22.02720976,65.35549924,83.73280082,maize
160,79,45,20,23.80546189,59.24537979,89.9622014,maize
161,72,60,25,18.52510753,69.0276233,88.10234397,maize
162,67,51,24,23.50297882,61.32026065,64.77791424,maize
163,86,36,24,26.54986394,72.89187265,73.33636055,maize
164,76,48,18,19.29563411,69.63481219,83.21030571,maize
165,75,53,18,20.68899915,59.4375337,103.651438,maize
166,81,45,23,19.32666088,68.034493,84.22969177,maize
167,73,45,21,24.60532218,73.58868502,96.59195302,maize
168,71,35,24,22.27373646,59.52193158,67.96704792,maize
169,96,54,22,25.70196694,61.33450447,83.20711308,maize
170,99,39,18,19.20129357,68.30578978,87.85092352,maize
171,62,48,20,21.70181447,60.47470519,95.71388473,maize
172,86,37,16,20.51716779,59.21235483,67.61013737,maize
173,94,50,19,23.30355338,73.62548442,97.59081274,maize
174,76,39,24,24.2547451,55.64709899,64.23845455,maize
175,77,52,17,24.86374934,65.7420046,75.82270467,maize
176,74,39,23,22.6265115,65.77472881,88.17251033,maize
177,81,49,20,18.04185513,60.61494304,104.2321615,maize
178,63,42,21,23.26237612,72.33125523,67.10225139,maize
179,99,38,21,22.88330922,71.59722446,67.72777298,maize
180,90,52,25,25.97482359,69.36385721,103.2234212,maize
181,68,40,19,26.14384005,66.20569924,107.2361366,maize
182,60,57,24,18.66116213,61.55327249,75.03247667,maize
183,71,52,18,25.10787449,55.97732754,78.16077693,maize
184,61,59,17,23.33844615,59.24580604,105.0083144,maize
185,88,38,15,25.08239719,65.92195844,62.49190812,maize
186,65,60,22,25.36768364,72.52054555,107.9124111,maize
187,78,37,22,25.34217103,63.31801994,74.52082026,maize
188,78,58,15,25.00933355,67.816568,62.91359494,maize
189,92,60,23,18.66746724,71.516474,69.93293255,maize
190,79,59,17,20.37999665,63.73849998,108.5054416,maize
191,91,55,15,18.09300227,72.61024172,78.96159541,maize
192,76,51,18,26.16985907,71.96246617,79.84925393,maize
193,87,48,25,18.65396672,61.37879671,93.62039175,maize
194,71,60,22,26.07470121,59.37147589,85.75692395,maize
195,90,57,24,18.92851916,72.80086137,82.34162918,maize
196,67,35,22,23.30546753,63.24648023,108.7603001,maize
197,60,54,19,18.74826712,62.49878458,70.23401597,maize
198,83,58,23,19.74213321,59.66263104,65.50861389,maize
199,83,57,19,25.73044432,70.74739256,98.73771338,maize
200,56,79,15,29.48439992,63.19915325,71.89090748,blackgram
201,25,62,21,26.73433965,68.13999721,67.15096376,blackgram
202,42,61,22,26.27274407,62.28814857,70.23207557,blackgram
203,42,73,25,34.03679184,67.21113844,73.23573601,blackgram
204,44,58,18,28.03644051,65.06601664,72.49507741,blackgram
205,50,55,16,28.81460716,65.33538112,62.26242533,blackgram
206,35,72,21,34.03619494,64.28791388,66.85510868,blackgram
207,30,64,20,33.8642935,61.57072498,68.02199825,blackgram
208,27,64,21,32.84213012,68.68401492,73.67166182,blackgram
209,50,74,17,27.10053268,63.36085585,73.84949872,blackgram
210,39,73,24,25.65842532,61.18235808,69.28607828,blackgram
211,57,67,25,32.34744009,66.61452812,64.55882254,blackgram
212,52,63,19,29.58949031,68.32176769,67.53021213,blackgram
213,55,66,22,30.91219459,68.79427388,66.63830637,blackgram
214,51,56,18,28.12787838,64.2097765,70.86340755,blackgram
215,36,66,15,30.08545364,69.34811988,67.1367443,blackgram
216,59,55,19,31.74379487,62.51007687,68.97097538,blackgram
217,50,58,23,27.81326852,62.50460464,69.75555541,blackgram
218,30,65,25,32.88733849,64.59457409,71.50569456,blackgram
219,20,62,18,29.36358721,64.98742947,61.91208707,blackgram
220,58,71,15,27.82592799,67.5861883,74.01229707,blackgram
221,25,71,24,28.49538735,60.44848407,74.91559514,blackgram
222,52,71,16,27.74274761,68.53997144,71.78615328,blackgram
223,40,63,18,30.41588462,67.66323804,63.02473185,blackgram
224,20,60,25,27.3254209,69.09047809,61.19250859,blackgram
225,48,61,21,30.28496619,61.69295127,65.62859526,blackgram
226,49,68,22,28.56840626,61.53278622,63.49726331,blackgram
227,48,62,15,25.36586097,66.6379724,65.81655892,blackgram
228,32,66,17,34.9466155,65.26774011,70.1415139,blackgram
229,21,63,22,25.09737391,67.72837887,74.61649888,blackgram
230,20,72,19,32.47648301,64.34848735,65.820457,blackgram
231,25,65,21,33.86351172,68.59232289,69.24464096,blackgram
232,41,78,21,25.19857725,60.37332688,70.88787207,blackgram
233,53,67,17,31.77681682,69.01852894,61.46892873,blackgram
234,39,60,21,34.89814946,63.59948557,64.72797143,blackgram
235,25,76,17,31.74105409,68.63525428,62.3061735,blackgram
236,21,78,19,27.16159076,66.76017239,69.85112265,blackgram
237,57,60,17,26.23773129,67.88521396,73.58663968,blackgram
238,56,75,15,30.20157245,60.06534859,66.37171179,blackgram
239,49,72,15,31.55846339,67.83563765,74.86960831,blackgram
240,24,80,19,29.67892453,69.0854554,65.66436565,blackgram
241,49,76,18,27.05365239,67.7017527,60.4693835,blackgram
242,28,68,19,34.63880966,61.38597868,72.43169115,blackgram
243,55,78,21,33.39438752,62.93692886,63.57445989,blackgram
244,50,64,25,28.84079155,63.37230676,70.25496749,blackgram
245,34,80,19,31.49338309,63.0563645,71.48327008,blackgram
246,20,68,23,25.54960633,63.95425534,63.1830529,blackgram
247,55,67,16,34.37329112,69.69366426,70.27184748,blackgram
248,23,70,15,34.6008247,63.11296779,60.41790253,blackgram
249,53,74,15,29.43463808,64.94329356,72.17818157,blackgram
250,26,67,16,29.10713092,67.90577375,67.83345933,blackgram
251,33,80,22,28.57006111,65.71765781,70.0866434,blackgram
252,37,79,19,27.54384835,69.3478631,69.40878198,blackgram
253,33,75,21,33.04687968,68.93875631,62.30278274,blackgram
254,22,55,20,33.95309131,69.96100028,61.16350463,blackgram
255,20,68,17,30.11873003,60.11680815,71.72980375,blackgram
256,43,68,20,29.57812712,66.17587668,69.43895491,blackgram
257,44,76,22,27.26458947,68.01232937,68.91754359,blackgram
258,34,60,16,31.35730791,64.24992106,63.85668948,blackgram
259,21,72,17,31.52104732,66.55723677,61.71111448,blackgram
260,25,68,19,29.39982732,64.25510719,67.47677295,blackgram
261,41,62,15,29.38400259,64.14928485,65.24194361,blackgram
262,28,65,23,28.38686534,61.88871127,74.24459122,blackgram
263,35,64,15,28.47442276,63.53604453,69.5274407,blackgram
264,52,58,16,30.64095781,61.14508627,71.36947525,blackgram
265,58,75,25,25.25596239,61.36669662,68.64685069,blackgram
266,34,66,19,32.97030511,60.18122078,73.44678678,blackgram
267,52,70,16,33.66855394,66.60416867,67.32520551,blackgram
268,23,57,19,32.83963757,67.99803573,73.40452716,blackgram
269,42,58,25,27.45853567,62.90020977,69.46020927,blackgram
270,37,62,17,25.68576704,69.84354028,74.62068748,blackgram
271,44,75,22,30.0328403,64.14800537,71.21006868,blackgram
272,21,80,20,28.20667264,68.27085245,64.32887142,blackgram
273,56,76,16,28.27265858,61.18956161,63.29900785,blackgram
274,29,76,15,28.5417236,64.2020154,69.68862306,blackgram
275,43,61,20,26.87187036,61.61367264,63.51822045,blackgram
276,55,60,15,32.79766751,68.77994074,64.11411069,blackgram
277,44,63,15,26.42333018,64.51136845,63.46546487,blackgram
278,29,67,21,29.79181107,63.38789228,63.02169909,blackgram
279,47,63,16,27.44003279,67.10464369,72.50669768,blackgram
280,40,68,17,34.1262979,65.14877461,70.40795007,blackgram
281,58,61,15,30.94908189,64.23364112,62.78730907,blackgram
282,41,74,18,28.75751783,61.02701476,73.37686831,blackgram
283,58,79,17,27.24766491,66.10123083,62.31842057,blackgram
284,27,62,24,28.63005477,66.770943,62.2737345,blackgram
285,27,60,17,26.41768321,63.64698302,64.42177127,blackgram
286,52,65,20,32.81705216,66.15665137,68.83924882,blackgram
287,44,55,25,29.6321052,65.91359954,71.16331975,blackgram
288,21,62,24,33.49077065,62.73317204,65.45328463,blackgram
289,60,59,22,31.86847286,66.74217464,74.22238583,blackgram
290,33,77,21,30.32992227,65.62971858,71.64631281,blackgram
291,59,58,17,28.546224,66.31394098,62.83469851,blackgram
292,29,63,17,30.02629908,67.88811637,66.47264636,blackgram
293,59,63,18,31.65531175,60.13263713,66.69096751,blackgram
294,29,70,15,30.33499674,63.54718862,74.16699119,blackgram
295,58,73,16,33.36984395,65.67718163,64.89517488,blackgram
296,55,77,22,31.4345059,62.99303471,64.77651469,blackgram
297,42,79,23,27.71678273,63.29103387,68.56507978,blackgram
298,44,77,21,32.63918668,61.3009051,61.83876146,blackgram
299,38,62,25,32.7477393,67.77954584,63.37784443,blackgram
300,32,76,15,28.05153602,63.49802189,43.35795377,lentil
301,13,61,22,19.44084326,63.27771461,46.83130119,lentil
302,38,60,20,29.84823072,60.63872613,46.80452595,lentil
303,11,74,17,21.36383757,69.92375891,46.6352865,lentil
304,37,71,16,26.28663931,68.51966729,46.13833007,lentil
305,29,71,18,22.17499963,62.13873825,53.46622584,lentil
306,2,72,18,26.57597546,60.97876599,50.89110726,lentil
307,6,59,21,26.58972517,66.14007674,50.90994463,lentil
308,13,64,20,19.1345771,62.57526895,36.46946971,lentil
309,8,58,17,28.75273118,69.15640149,35.15426171,lentil
310,6,77,20,25.78746268,60.2816298,49.14337177,lentil
311,2,75,22,23.89271875,61.78779413,52.55730112,lentil
312,3,69,23,28.67408774,63.18832976,42.96018627,lentil
313,27,80,24,28.42062847,61.77336343,49.02366803,lentil
314,39,78,15,21.35499456,62.60136323,41.78219834,lentil
315,40,79,17,21.12695586,63.18738532,38.71834464,lentil
316,37,62,22,24.02037872,61.62313345,49.78102578,lentil
317,31,60,24,25.40474421,65.8567539,51.92057267,lentil
318,22,67,22,29.03017561,64.49166566,54.9393771,lentil
319,3,78,18,20.21368219,68.65257685,50.89732989,lentil
320,4,80,16,29.19585548,68.01965728,44.93261911,lentil
321,13,61,24,18.29783597,69.6897615,49.39111479,lentil
322,12,66,20,27.41434987,63.41785982,44.43177543,lentil
323,4,61,21,24.84063998,60.09116626,48.77790371,lentil
324,9,60,21,29.94413861,67.31323084,40.37113729,lentil
325,18,66,22,25.87990287,67.55109024,47.89645224,lentil
326,32,56,18,20.0467711,65.84395319,46.05333124,lentil
327,6,72,15,22.99451999,66.70897237,54.49044154,lentil
328,15,77,20,25.13163619,66.92642362,49.04015558,lentil
329,0,65,24,28.49584395,62.44616219,53.14531023,lentil
330,30,79,22,18.28766124,69.48515056,48.60449438,lentil
331,3,63,16,24.38041875,61.18458224,53.13946695,lentil
332,2,78,23,21.31852148,66.43934593,45.42616802,lentil
333,10,78,18,18.54141834,62.70637578,44.07819743,lentil
334,14,67,25,25.28710601,60.85993533,49.37369982,lentil
335,39,65,23,25.43459777,69.12613376,41.02682925,lentil
336,19,72,15,28.83600962,69.76112921,44.08562546,lentil
337,18,57,21,27.37659643,63.93927841,49.47371773,lentil
338,31,58,15,28.31886863,60.19461399,45.36521251,lentil
339,28,58,25,27.4818649,62.04814951,37.81123974,lentil
340,5,65,19,18.28072173,68.10365387,48.80253285,lentil
341,16,65,19,27.61204997,69.29786244,42.72374404,lentil
342,34,65,19,23.43974653,63.22011726,45.40277297,lentil
343,14,69,19,20.95628486,63.68128841,52.39881209,lentil
344,22,55,16,23.7937153,68.03209183,49.73922097,lentil
345,24,61,17,22.6371424,65.44544859,38.30411077,lentil
346,2,79,15,21.53577883,65.47227704,35.75107592,lentil
347,26,63,17,29.87854588,65.73085206,44.95654782,lentil
348,27,61,15,25.2653291,67.10004577,48.33941188,lentil
349,24,70,16,25.17885316,68.93307305,35.03484812,lentil
350,13,74,25,24.12192608,61.09533545,44.23629285,lentil
351,6,64,23,23.33565221,67.40460704,36.18678721,lentil
352,12,58,23,21.74600081,63.39503184,50.43306085,lentil
353,32,79,22,27.60195453,63.46170674,54.37814199,lentil
354,6,68,18,24.388717,62.50453062,47.26052494,lentil
355,10,79,20,24.98287462,66.895409,38.21370568,lentil
356,38,77,22,28.234829,69.3159965,35.36831423,lentil
357,17,74,17,26.03026959,69.55863145,37.11395801,lentil
358,26,68,24,28.04849594,64.07691942,37.15824966,lentil
359,23,75,17,24.87425505,64.00213929,48.28137482,lentil
360,32,78,22,23.97081395,62.35557553,53.40906048,lentil
361,19,79,19,20.06003985,67.76252583,42.89509057,lentil
362,22,60,18,19.59221047,61.28633405,41.7704893,lentil
363,28,69,16,29.77013109,66.29327012,35.69674138,lentil
364,1,67,21,27.52135365,60.53657684,48.06491307,lentil
365,12,67,23,25.62896213,63.14909763,45.49683991,lentil
366,36,67,20,20.39078312,60.47528931,53.31508572,lentil
367,28,70,21,25.39038396,60.4989659,39.18374505,lentil
368,12,71,19,24.91079638,60.71367427,42.19740397,lentil
369,22,68,16,27.70496805,63.20915034,37.46160727,lentil
370,26,66,22,18.06486101,65.1034354,51.54922825,lentil
371,16,65,16,18.13027797,62.45851612,50.6128521,lentil
372,14,59,22,23.82723528,67.89815262,46.90725077,lentil
373,33,59,19,23.19305333,62.74710773,49.55213308,lentil
374,21,63,17,25.08966129,68.17543102,41.45486619,lentil
375,0,69,21,25.86928193,61.88321072,36.68284038,lentil
376,10,75,17,18.43966037,68.05394959,39.00992137,lentil
377,30,61,18,27.14911056,67.02664337,52.50812701,lentil
378,0,74,17,23.33375853,64.50515776,47.01510708,lentil
379,35,74,22,26.7230014,62.96841833,42.87274897,lentil
380,7,63,24,19.55750776,64.45268309,53.04669416,lentil
381,9,56,17,26.13708256,66.7729209,46.48280681,lentil
382,14,74,15,27.99990346,65.57653373,49.94043064,lentil
383,14,76,20,29.05941162,62.10652364,36.5011366,lentil
384,36,65,16,25.71269843,64.1123333,50.17067771,lentil
385,28,67,21,21.79792649,63.73086065,46.62370222,lentil
386,28,79,16,24.70626432,60.26854183,53.12442925,lentil
387,40,61,22,20.94981756,65.8108757,44.23913012,lentil
388,10,70,19,24.84918386,68.98088448,41.61080544,lentil
389,12,80,19,21.91041045,65.21662467,36.10211371,lentil
390,37,77,20,25.93381964,68.70533022,51.02372773,lentil
391,0,67,22,29.82112112,69.4073209,51.56461082,lentil
392,7,73,25,27.52185591,63.13215259,45.20841071,lentil
393,10,56,18,27.99627907,68.6428593,46.10585191,lentil
394,39,70,15,20.76774783,63.90164154,47.9271552,lentil
395,26,56,22,23.05276444,60.424786,52.60285259,lentil
396,9,77,17,21.65845777,63.58337146,38.07659414,lentil
397,4,59,19,26.25070298,67.62779652,40.8106299,lentil
398,34,73,15,20.97195263,63.83179889,53.10207889,lentil
399,33,77,15,23.89736406,66.32102048,40.74536757,lentil
400,91,94,46,29.36792366,76.24900101,92.82840911,banana
401,105,95,50,27.33368994,83.67675197,101.0494791,banana
402,108,92,53,27.40053601,82.96221306,104.9378,banana
403,86,76,54,29.3159075,80.11585705,90.10978128,banana
404,80,77,49,26.05433004,79.39654531,113.2297373,banana
405,93,94,53,25.86632408,84.42379269,114.5357503,banana
406,90,92,55,27.00932084,80.18546798,97.32531705,banana
407,108,89,53,29.55054817,78.06762846,99.34482238,banana
408,108,88,55,26.28845991,83.390039,113.8729798,banana
409,105,77,52,29.16226551,76.16151562,100.0075679,banana
410,118,88,52,28.65003945,82.68752542,98.75084366,banana
411,101,87,54,29.07311132,76.50045221,100.1692639,banana
412,95,75,50,28.08166093,75.26429821,118.2761894,banana
413,106,85,53,27.1994597,78.8086068,99.72430835,banana
414,86,95,49,28.05484146,78.04602887,108.3957179,banana
415,83,79,55,25.14748006,83.34688193,98.66679427,banana
416,85,95,47,25.94019018,78.3422098,119.84797,banana
417,109,79,45,27.66752761,79.68542782,108.66464,banana
418,100,76,45,25.56703012,75.94067692,102.7867717,banana
419,117,86,48,28.6956201,82.54195839,116.1616839,banana
420,114,94,53,26.33544853,76.8532006,118.6858263,banana
421,110,78,50,25.93730186,78.89864446,98.21747528,banana
422,94,70,48,25.13686519,84.88394407,91.46442491,banana
423,80,71,47,27.50527651,80.79783998,105.0776992,banana
424,114,79,51,26.21009246,82.34429458,112.0700033,banana
425,88,78,45,29.10403455,79.19588629,92.07835761,banana
426,112,73,48,29.2440638,77.32017166,90.66727868,banana
427,117,76,47,25.56202173,77.38229006,93.10247183,banana
428,111,87,48,26.3985515,81.36028902,98.16752001,banana
429,89,83,47,28.09577643,77.79586769,109.5408614,banana
430,93,91,47,27.84767901,83.31110751,117.2878912,banana
431,92,81,52,27.39341554,81.4654833,94.31102057,banana
432,105,74,45,25.14517635,81.38204104,119.218154,banana
433,102,71,48,28.65456263,79.28693687,102.4633775,banana
434,94,91,51,29.16093424,76.67484233,109.575944,banana
435,116,71,47,27.57278064,82.0638878,91.34276507,banana
436,117,79,49,25.40909896,82.36208097,112.9794804,banana
437,119,72,55,25.99069521,83.33983116,112.0777152,banana
438,99,73,53,26.29039046,81.06003778,118.6730366,banana
439,91,84,52,29.14827211,78.71024836,117.536781,banana
440,80,90,47,26.59743595,79.35898915,107.3944717,banana
441,101,70,48,25.36059237,75.03193255,116.5531455,banana
442,108,89,53,29.12036889,80.18080728,112.3982055,banana
443,100,80,52,27.53911354,77.25629897,110.3262123,banana
444,109,91,53,29.66727337,83.51014178,110.2511102,banana
445,82,78,46,25.05802193,84.97323747,110.4408803,banana
446,106,70,55,25.86824781,78.52399914,116.3019555,banana
447,90,86,52,25.85036988,81.95580471,119.0856171,banana
448,83,95,50,26.51682337,77.79913575,108.8547508,banana
449,119,90,48,28.66725136,79.59242542,118.2583441,banana
450,107,72,45,28.14938935,81.54448882,91.40508414,banana
451,116,81,55,26.42313317,83.6995044,95.12322062,banana
452,101,75,50,26.59386409,81.40740301,109.9825551,banana
453,93,81,50,27.71822477,76.57853189,102.2099836,banana
454,95,75,45,28.98333432,82.95958244,109.022564,banana
455,107,71,55,29.42017919,83.96754496,117.229079,banana
456,83,94,47,27.39872329,81.10523402,112.1355384,banana
457,102,73,54,26.4020227,84.41007614,111.0162259,banana
458,86,79,45,27.81251452,82.69285419,99.20961514,banana
459,117,86,53,25.19640218,83.55829874,115.8586081,banana
460,111,79,53,28.31193338,75.77363772,119.695765,banana
461,95,74,50,25.90113128,80.47152737,110.10323,banana
462,91,75,55,27.48612983,76.11239849,109.2768851,banana
463,93,83,46,29.38254012,83.50423735,109.2486647,banana
464,92,85,51,29.22118628,81.08183635,108.8616474,banana
465,104,80,54,27.09062164,81.33506906,110.1331182,banana
466,103,72,51,26.12643374,81.81365007,104.4812858,banana
467,92,75,45,29.01207743,77.95192527,90.43495443,banana
468,93,85,49,27.96799119,79.28625709,119.4765557,banana
469,120,87,52,28.0764455,76.05522115,118.9923573,banana
470,108,72,46,25.16278237,84.97849241,90.94554618,banana
